document_index,cluster
0,3
1,2
2,3
3,2
4,3
5,3
6,3
7,3
8,2
9,2
10,3
11,3
12,2
13,2
14,3
15,2
16,3
17,2
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,2
27,3
28,3
29,3
30,3
31,3
32,3
33,2
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,2
42,3
43,3
44,2
45,3
46,3
47,3
48,3
49,3
50,3
51,2
52,2
53,3
54,3
55,2
56,3
57,2
58,3
59,2
60,3
61,3
62,3
63,2
64,2
65,3
66,2
67,2
68,3
69,3
70,3
71,3
72,3
73,2
74,2
75,3
76,3
77,2
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,2
86,3
87,2
88,3
89,2
90,3
91,3
92,3
93,2
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,2
111,3
112,2
113,2
114,3
115,2
116,3
117,3
118,3
119,2
120,3
121,3
122,3
123,2
124,3
125,3
126,3
127,2
128,3
129,3
130,3
131,3
132,3
133,3
134,2
135,3
136,3
137,3
138,2
139,3
140,3
141,2
142,3
143,3
144,2
145,3
146,3
147,2
148,3
149,3
150,3
151,3
152,3
153,3
154,3
155,3
156,3
157,3
158,3
159,3
160,2
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,2
169,3
170,3
171,3
172,3
173,3
174,2
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,2
185,3
186,3
187,3
188,3
189,3
190,3
191,2
192,2
193,3
194,2
195,3
196,3
197,3
198,2
199,2
200,3
201,3
202,3
203,3
204,3
205,3
206,2
207,3
208,3
209,3
210,3
211,2
212,3
213,3
214,3
215,3
216,3
217,2
218,3
219,3
220,3
221,3
222,3
223,3
224,3
225,3
226,2
227,3
228,3
229,3
230,3
231,3
232,2
233,3
234,3
235,2
236,3
237,3
238,3
239,3
240,2
241,3
242,2
243,3
244,2
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,2
256,3
257,3
258,3
259,2
260,3
261,3
262,3
263,3
264,2
265,2
266,3
267,3
268,2
269,3
270,2
271,3
272,3
273,3
274,3
275,2
276,3
277,3
278,3
279,3
280,3
281,2
282,2
283,2
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,2
297,3
298,3
299,2
300,3
301,2
302,3
303,3
304,3
305,2
306,3
307,3
308,3
309,3
310,3
311,3
312,3
313,3
314,3
315,2
316,3
317,2
318,3
319,3
320,3
321,3
322,3
323,3
324,3
325,3
326,2
327,3
328,3
329,3
330,2
331,3
332,3
333,3
334,2
335,3
336,3
337,3
338,3
339,3
340,3
341,3
342,3
343,3
344,3
345,2
346,2
347,2
348,3
349,3
350,2
351,3
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,3
360,3
361,3
362,2
363,3
364,3
365,3
366,3
367,3
368,3
369,3
370,3
371,3
372,2
373,3
374,3
375,3
376,3
377,3
378,2
379,3
380,3
381,3
382,3
383,3
384,3
385,3
386,3
387,2
388,3
389,3
390,3
391,2
392,3
393,3
394,3
395,3
396,3
397,3
398,2
399,2
400,2
401,3
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,3
412,3
413,2
414,3
415,2
416,2
417,2
418,3
419,3
420,3
421,2
422,2
423,2
424,3
425,2
426,3
427,3
428,3
429,3
430,3
431,3
432,2
433,3
434,3
435,2
436,3
437,3
438,3
439,3
440,3
441,2
442,2
443,3
444,3
445,3
446,3
447,3
448,2
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,2
460,3
461,2
462,3
463,2
464,3
465,3
466,2
467,3
468,3
469,3
470,3
471,3
472,2
473,2
474,3
475,3
476,3
477,2
478,2
479,3
480,3
481,3
482,2
483,2
484,2
485,3
486,2
487,2
488,3
489,3
490,3
491,2
492,3
493,3
494,2
495,3
496,2
497,2
498,2
499,3
500,2
501,3
