document_index,cluster
0,2
1,3
2,3
3,2
4,2
5,2
6,0
7,2
8,2
9,0
10,2
11,2
12,3
13,2
14,3
15,2
16,2
17,3
18,2
19,2
20,2
21,3
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,3
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,3
46,3
47,2
48,2
49,2
50,2
51,0
52,2
53,2
54,2
55,2
56,3
57,2
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,3
66,0
67,2
68,3
69,3
70,2
71,2
72,3
73,2
74,2
75,2
76,3
77,2
78,3
79,2
80,2
81,2
82,3
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,3
93,2
94,2
95,0
96,3
97,2
98,3
99,2
100,2
101,3
102,3
103,2
104,2
105,0
106,2
107,2
108,2
109,2
110,2
111,2
112,3
113,2
114,3
115,3
116,3
117,2
118,3
119,2
120,0
121,2
122,2
123,3
124,2
125,3
126,3
127,2
128,2
129,3
130,2
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,3
139,3
140,2
141,3
142,2
143,2
144,1
145,2
146,3
147,2
148,3
149,3
150,2
151,2
152,2
153,2
154,2
155,2
156,3
157,3
158,2
159,3
160,2
161,2
162,3
163,3
164,3
165,2
166,2
167,2
168,2
169,2
170,2
171,3
172,2
173,3
174,3
175,2
176,2
177,3
178,2
179,2
180,2
181,2
182,3
183,3
184,2
185,2
186,3
187,2
188,2
189,2
190,0
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,3
202,3
203,2
204,2
205,2
206,2
207,3
208,2
209,2
210,2
211,3
212,2
213,3
214,2
215,2
216,3
217,0
218,0
219,2
220,3
221,0
222,2
223,0
224,3
225,3
226,2
227,3
228,2
229,0
230,2
231,2
232,3
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,3
241,3
242,2
243,2
244,2
245,2
246,2
247,2
248,3
249,3
250,2
251,3
252,2
253,2
254,2
255,3
256,2
257,2
258,3
259,2
260,2
261,3
262,3
263,2
264,2
265,2
266,2
267,3
268,2
269,2
270,3
271,3
272,0
273,3
274,2
275,2
276,2
277,3
278,2
279,2
280,3
281,2
282,3
283,2
284,2
285,2
286,2
287,2
288,2
289,3
290,3
291,3
292,2
293,2
294,3
295,2
296,2
297,2
298,3
299,2
300,0
301,2
302,2
303,2
304,3
305,2
306,2
307,2
308,2
309,2
310,2
311,3
312,2
313,2
314,2
315,2
316,3
317,2
318,2
319,2
320,0
321,2
322,2
323,3
324,0
325,2
326,0
327,3
328,0
329,2
330,3
331,3
332,3
333,3
334,2
335,2
336,2
337,2
338,3
339,3
340,2
341,3
342,2
343,3
344,2
345,2
346,3
347,2
348,0
349,2
350,3
351,3
352,2
353,0
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,2
362,3
363,2
364,0
365,2
366,2
367,3
368,2
369,2
370,2
371,2
372,2
373,3
374,2
375,2
376,2
377,2
378,2
379,2
380,3
381,2
382,2
383,2
384,2
385,3
386,2
387,2
388,2
389,2
390,3
391,2
392,2
393,0
394,3
395,0
396,2
397,3
398,2
399,2
400,2
401,2
402,2
403,2
404,3
405,3
406,2
407,2
408,0
409,2
410,3
411,2
412,2
413,2
414,2
415,2
416,2
417,3
418,3
419,2
420,2
421,2
422,3
423,2
424,3
425,2
426,2
427,0
428,2
429,2
430,2
431,3
432,2
433,3
434,2
435,2
436,0
437,2
438,2
439,2
440,3
441,2
442,0
443,0
444,2
445,0
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,0
454,2
455,3
456,3
457,2
458,0
459,2
460,3
461,3
462,2
463,2
464,2
465,2
466,2
467,2
468,0
469,2
470,3
471,0
472,2
473,2
474,0
475,2
476,2
477,0
478,2
479,2
480,2
481,3
482,3
483,2
484,2
485,2
486,0
487,2
488,0
489,2
490,3
491,2
492,3
493,2
494,2
495,3
496,2
497,2
498,2
499,3
500,2
501,0
502,3
503,3
504,3
505,2
506,2
507,2
508,3
509,2
510,2
511,2
512,3
513,2
514,3
515,3
516,2
517,2
518,2
519,2
520,2
521,3
522,2
523,0
524,2
525,0
526,0
527,2
528,2
529,3
530,2
531,3
532,2
533,0
534,2
535,3
536,2
537,3
538,2
539,2
540,3
541,2
542,2
543,3
544,0
545,2
546,0
547,3
548,2
549,2
550,2
551,2
552,2
553,2
554,3
555,2
556,3
557,3
558,2
559,2
560,2
561,2
562,2
563,2
564,0
565,3
566,2
567,2
568,2
569,2
570,0
571,2
572,2
573,2
574,2
575,2
576,3
577,2
578,2
579,2
580,0
581,2
582,2
